,id,tool,precision,recall,F1
85,42,monovar,1.0,0.5939849624060151,0.7452830188679245
86,43,SCarborSNV,1.0,0.5864197530864198,0.7392996108949417
87,43,monovar,1.0,0.5246913580246914,0.6882591093117408
88,44,SCarborSNV,1.0,0.6690647482014388,0.8017241379310345
89,44,monovar,1.0,0.6546762589928058,0.7913043478260869
90,45,SCarborSNV,1.0,0.6428571428571429,0.782608695652174
91,45,monovar,1.0,0.625,0.7692307692307693
92,46,SCarborSNV,1.0,0.6363636363636364,0.7777777777777778
93,46,monovar,1.0,0.6223776223776224,0.7672413793103449
94,47,SCarborSNV,1.0,0.6764705882352942,0.8070175438596491
95,47,monovar,1.0,0.6372549019607843,0.7784431137724551
96,48,SCarborSNV,0.4,0.6818181818181818,0.5042016806722689
97,48,monovar,0.3918918918918919,0.6590909090909091,0.4915254237288136
98,49,SCarborSNV,1.0,0.5842696629213483,0.7375886524822695
99,49,monovar,1.0,0.5730337078651685,0.7285714285714285
100,50,SCarborSNV,1.0,0.6907216494845361,0.8170731707317073
101,50,monovar,1.0,0.6288659793814433,0.7721518987341772
102,51,SCarborSNV,1.0,0.6638655462184874,0.797979797979798
103,51,monovar,1.0,0.6554621848739496,0.7918781725888325
104,52,SCarborSNV,1.0,0.6794871794871795,0.8091603053435115
105,52,monovar,1.0,0.6923076923076923,0.8181818181818182
106,53,SCarborSNV,1.0,0.5930232558139535,0.7445255474452555
107,53,monovar,1.0,0.5465116279069767,0.706766917293233
108,54,SCarborSNV,0.6027397260273972,0.6875,0.6423357664233577
109,54,monovar,0.5915492957746479,0.65625,0.6222222222222222
110,55,SCarborSNV,0.5454545454545454,0.54,0.542713567839196
111,55,monovar,0.5263157894736842,0.5,0.5128205128205128
112,56,SCarborSNV,1.0,0.6645569620253164,0.7984790874524715
113,56,monovar,1.0,0.6518987341772152,0.789272030651341
114,57,SCarborSNV,1.0,0.5919282511210763,0.7436619718309859
115,57,monovar,1.0,0.5650224215246636,0.7220630372492837
116,58,SCarborSNV,1.0,0.6138613861386139,0.7607361963190185
117,58,monovar,1.0,0.594059405940594,0.7453416149068323
118,59,SCarborSNV,1.0,0.5909090909090909,0.7428571428571429
119,59,monovar,1.0,0.5340909090909091,0.6962962962962963
120,60,SCarborSNV,1.0,0.5375,0.6991869918699187
121,60,monovar,1.0,0.525,0.6885245901639344
122,61,SCarborSNV,1.0,0.5368421052631579,0.6986301369863014
123,61,monovar,1.0,0.5157894736842106,0.6805555555555556
124,62,SCarborSNV,1.0,0.625,0.7692307692307693
125,62,monovar,1.0,0.5833333333333334,0.7368421052631579
126,63,SCarborSNV,0.7155963302752294,0.6290322580645161,0.6695278969957081
127,63,monovar,0.7047619047619048,0.5967741935483871,0.6462882096069869
128,64,SCarborSNV,0.4583333333333333,0.7457627118644068,0.567741935483871
129,64,monovar,0.44680851063829785,0.711864406779661,0.5490196078431373
130,65,SCarborSNV,1.0,0.6482758620689655,0.7866108786610879
131,65,monovar,1.0,0.6,0.75
132,66,SCarborSNV,1.0,0.6022727272727273,0.75177304964539
133,66,monovar,1.0,0.5454545454545454,0.7058823529411765
134,67,SCarborSNV,1.0,0.7333333333333333,0.8461538461538461
135,67,monovar,1.0,0.68,0.8095238095238095
136,68,SCarborSNV,1.0,0.6145833333333334,0.7612903225806451
137,68,monovar,1.0,0.5833333333333334,0.7368421052631579
138,69,SCarborSNV,1.0,0.6696428571428571,0.8021390374331551
139,69,monovar,1.0,0.6428571428571429,0.782608695652174
140,70,SCarborSNV,1.0,0.5476190476190477,0.7076923076923077
141,70,monovar,1.0,0.5119047619047619,0.6771653543307087
142,71,SCarborSNV,1.0,0.5846153846153846,0.7378640776699029
143,71,monovar,1.0,0.5692307692307692,0.7254901960784313
144,72,SCarborSNV,1.0,0.6617647058823529,0.7964601769911505
145,72,monovar,1.0,0.6323529411764706,0.7747747747747747
146,73,SCarborSNV,1.0,0.696969696969697,0.8214285714285714
147,73,monovar,1.0,0.6363636363636364,0.7777777777777778
148,74,SCarborSNV,1.0,0.6385542168674698,0.7794117647058824
149,74,monovar,1.0,0.6144578313253012,0.7611940298507462
150,75,SCarborSNV,1.0,0.6716417910447762,0.8035714285714286
151,75,monovar,1.0,0.6343283582089553,0.776255707762557
152,76,SCarborSNV,1.0,0.6595744680851063,0.7948717948717948
153,76,monovar,1.0,0.648936170212766,0.7870967741935484
154,77,SCarborSNV,1.0,0.6036036036036037,0.7528089887640449
155,77,monovar,1.0,0.5675675675675675,0.7241379310344828
156,78,SCarborSNV,1.0,0.5784313725490197,0.7329192546583851
157,78,monovar,1.0,0.5392156862745098,0.7006369426751592
158,79,SCarborSNV,1.0,0.64,0.7804878048780488
159,79,monovar,1.0,0.6133333333333333,0.7603305785123967
160,80,SCarborSNV,1.0,0.632183908045977,0.7746478873239436
161,80,monovar,1.0,0.632183908045977,0.7746478873239436
162,81,SCarborSNV,0.6590909090909091,0.6904761904761905,0.6744186046511628
163,81,monovar,0.6511627906976745,0.6666666666666666,0.6588235294117647
164,82,SCarborSNV,1.0,0.680672268907563,0.81
165,82,monovar,1.0,0.6386554621848739,0.7794871794871795
166,83,SCarborSNV,0.6027397260273972,0.6285714285714286,0.6153846153846154
167,83,monovar,0.5857142857142857,0.5857142857142857,0.5857142857142857
168,84,SCarborSNV,1.0,0.5842696629213483,0.7375886524822695
169,84,monovar,1.0,0.5617977528089888,0.7194244604316546
170,85,SCarborSNV,0.5,0.5633802816901409,0.5298013245033113
171,85,monovar,0.4936708860759494,0.5492957746478874,0.52
172,86,SCarborSNV,1.0,0.5888888888888889,0.7412587412587412
173,86,monovar,1.0,0.5777777777777777,0.7323943661971831
174,87,SCarborSNV,1.0,0.59375,0.7450980392156863
175,87,monovar,1.0,0.5625,0.72
176,88,SCarborSNV,1.0,0.5739130434782609,0.7292817679558011
177,88,monovar,1.0,0.5565217391304348,0.7150837988826816
178,89,SCarborSNV,1.0,0.6645569620253164,0.7984790874524715
179,89,monovar,1.0,0.6392405063291139,0.7799227799227799
180,90,SCarborSNV,1.0,0.6907894736842105,0.8171206225680934
181,90,monovar,1.0,0.6513157894736842,0.7888446215139442
182,91,SCarborSNV,1.0,0.6086956521739131,0.7567567567567568
183,91,monovar,1.0,0.577639751552795,0.7322834645669292
184,92,SCarborSNV,0.36,0.5714285714285714,0.44171779141104295
185,92,monovar,0.3469387755102041,0.5396825396825397,0.422360248447205
186,93,SCarborSNV,1.0,0.6934306569343066,0.8189655172413793
187,93,monovar,1.0,0.6861313868613139,0.8138528138528138
188,94,SCarborSNV,1.0,0.6257668711656442,0.769811320754717
189,94,monovar,1.0,0.5828220858895705,0.7364341085271318
190,95,SCarborSNV,1.0,0.6228070175438597,0.7675675675675676
191,95,monovar,1.0,0.6052631578947368,0.7540983606557377
192,96,SCarborSNV,1.0,0.6703296703296703,0.8026315789473685
193,96,monovar,1.0,0.6153846153846154,0.7619047619047619
194,97,SCarborSNV,1.0,0.6054421768707483,0.7542372881355932
195,97,monovar,1.0,0.5850340136054422,0.7381974248927039
196,98,SCarborSNV,1.0,0.5714285714285714,0.7272727272727273
197,98,monovar,1.0,0.5285714285714286,0.6915887850467289
198,99,SCarborSNV,1.0,0.6086956521739131,0.7567567567567568
199,99,monovar,1.0,0.5543478260869565,0.7132867132867133
