i,Phylo,Precision,Recall,F1
50,Y,0.8530612244897959,0.9675925925925926,0.9067245119305857
50,N,0.9927184466019418,0.9467592592592593,0.9691943127962085
51,Y,0.9523809523809523,0.975609756097561,0.963855421686747
51,N,0.9872340425531915,0.943089430894309,0.9646569646569647
52,Y,0.8814968814968815,0.9571106094808126,0.9177489177489178
52,N,0.9879518072289156,0.9255079006772009,0.9557109557109557
53,Y,0.44935344827586204,0.9858156028368794,0.6173205033308661
53,N,0.49210206561360875,0.9574468085106383,0.6500802568218299
54,Y,0.8509615384615384,0.9971830985915493,0.9182879377431906
54,N,0.9829059829059829,0.971830985915493,0.9773371104815864
55,Y,0.8983451536643026,0.9768637532133676,0.9359605911330049
55,N,1.0,0.9460154241645244,0.9722589167767504
56,Y,0.9079229122055674,0.9929742388758782,0.9485458612975392
56,N,0.9975845410628019,0.9672131147540983,0.9821640903686087
57,Y,0.8995327102803738,0.9637046307884856,0.9305135951661632
57,N,0.9777486910994765,0.934918648310388,0.9558541266794626
58,Y,0.9108910891089109,0.9465020576131687,0.9283551967709385
58,N,0.9955947136563876,0.9300411522633745,0.9617021276595744
59,Y,0.8913043478260869,0.9792993630573248,0.9332321699544764
59,N,0.9832214765100671,0.9331210191082803,0.9575163398692811
60,Y,0.9254658385093167,0.9675324675324676,0.946031746031746
60,N,0.9952830188679245,0.9134199134199135,0.9525959367945824
61,Y,0.8730512249443207,0.9607843137254902,0.9148191365227538
61,N,0.9842931937172775,0.9215686274509803,0.9518987341772152
62,Y,0.6590563165905632,0.9352051835853131,0.7732142857142857
62,N,0.682258064516129,0.9136069114470843,0.7811634349030471
63,Y,0.9390243902439024,0.9746835443037974,0.9565217391304348
63,N,0.9808102345415778,0.9704641350210971,0.975609756097561
64,Y,0.8869179600886918,0.9828009828009828,0.9324009324009324
64,N,0.9847715736040609,0.9533169533169533,0.968789013732834
65,Y,0.4869402985074627,0.9775280898876404,0.6500622665006227
65,N,0.5149105367793241,0.9700374531835206,0.6727272727272727
66,Y,0.9338235294117647,0.9883268482490273,0.9603024574669187
66,N,0.9878048780487805,0.9455252918287937,0.9662027833001988
67,Y,0.8854166666666666,0.9465478841870824,0.9149623250807319
67,N,0.9834123222748815,0.9242761692650334,0.9529276693455798
68,Y,0.5408618127786032,0.986449864498645,0.6986564299424184
