,id,tool,precision,recall,F1
107,53,monovar,0.9962962962962963,0.8512658227848101,0.9180887372013652
108,54,SCarborSNV,0.46763754045307443,0.9829931972789115,0.6337719298245614
109,54,monovar,0.5244897959183673,0.8741496598639455,0.6556122448979592
110,55,SCarborSNV,0.4043583535108959,0.9461756373937678,0.5665818490245971
111,55,monovar,0.42105263157894735,0.8385269121813032,0.5606060606060606
112,56,SCarborSNV,0.895774647887324,0.9769585253456221,0.9346069066862601
113,56,monovar,0.9946140035906643,0.8509984639016898,0.9172185430463576
114,57,SCarborSNV,0.8418560606060606,0.9844961240310077,0.9076059213884635
115,57,monovar,0.9962732919254659,0.8881506090808416,0.9391100702576113
116,58,SCarborSNV,0.9130434782608695,0.9569620253164557,0.934487021013597
117,58,monovar,0.9883381924198251,0.8582278481012658,0.9186991869918699
118,59,SCarborSNV,0.9157303370786517,0.9819277108433735,0.9476744186046512
119,59,monovar,0.9896551724137931,0.8644578313253012,0.9228295819935691
120,60,SCarborSNV,0.8960674157303371,0.9755351681957186,0.9341142020497804
121,60,monovar,0.99644128113879,0.8562691131498471,0.9210526315789473
122,61,SCarborSNV,0.9033149171270718,0.961764705882353,0.9316239316239316
123,61,monovar,1.0,0.8294117647058824,0.9067524115755627
124,62,SCarborSNV,0.9073634204275535,0.9870801033591732,0.9455445544554455
125,62,monovar,0.9879518072289156,0.8475452196382429,0.9123783031988874
126,63,SCarborSNV,0.5368956743002544,0.985981308411215,0.6952224052718287
127,63,monovar,0.5457184325108854,0.8785046728971962,0.6732318710832588
128,64,SCarborSNV,0.37514654161781946,0.9937888198757764,0.5446808510638298
129,64,monovar,0.34513274336283184,0.8478260869565217,0.49056603773584906
130,65,SCarborSNV,0.9277310924369748,0.983957219251337,0.9550173010380623
131,65,monovar,0.9958071278825996,0.8467023172905526,0.9152215799614644
132,66,SCarborSNV,0.9232876712328767,0.9519774011299436,0.9374130737134909
133,66,monovar,0.9769736842105263,0.8389830508474576,0.9027355623100304
134,67,SCarborSNV,0.8009592326139089,0.9737609329446064,0.8789473684210526
135,67,monovar,0.987012987012987,0.8862973760932945,0.9339477726574501
136,68,SCarborSNV,0.9288793103448276,0.9930875576036866,0.9599109131403119
137,68,monovar,0.9896640826873385,0.8824884792626728,0.9330085261875761
138,69,SCarborSNV,0.8793388429752066,0.9925373134328358,0.9325153374233128
139,69,monovar,0.9978947368421053,0.8843283582089553,0.9376854599406528
140,70,SCarborSNV,0.9444444444444444,0.9847560975609756,0.9641791044776119
141,70,monovar,1.0,0.8597560975609756,0.9245901639344263
142,71,SCarborSNV,0.9365351629502573,0.9909255898366606,0.9629629629629629
143,71,monovar,0.997907949790795,0.8656987295825771,0.9271137026239067
144,72,SCarborSNV,0.8556067588325653,0.9670138888888888,0.9079054604726976
145,72,monovar,0.9783889980353635,0.8645833333333334,0.9179723502304148
146,73,SCarborSNV,0.8923076923076924,0.9567010309278351,0.9233830845771144
147,73,monovar,0.9775,0.8061855670103093,0.8836158192090395
148,74,SCarborSNV,0.8717948717948718,0.9935064935064936,0.928679817905918
149,74,monovar,0.9822064056939501,0.8961038961038961,0.9371816638370118
150,75,SCarborSNV,0.9067567567567567,0.9940740740740741,0.9484098939929329
151,75,monovar,0.9900497512437811,0.8844444444444445,0.9342723004694836
152,76,SCarborSNV,0.8461538461538461,0.9902676399026764,0.9125560538116592
153,76,monovar,0.979746835443038,0.9416058394160584,0.9602977667493796
154,77,SCarborSNV,0.8819320214669052,0.9840319361277445,0.930188679245283
155,77,monovar,0.9887892376681614,0.8802395209580839,0.9313621964097148
156,78,SCarborSNV,0.8616352201257862,0.9879807692307693,0.9204927211646137
157,78,monovar,0.9972602739726028,0.875,0.9321382842509603
158,79,SCarborSNV,0.8867924528301887,0.9939577039274925,0.9373219373219374
159,79,monovar,1.0,0.8700906344410876,0.9305331179321487
160,80,SCarborSNV,0.8727272727272727,0.9922480620155039,0.9286577992744861
161,80,monovar,0.9885057471264368,0.8888888888888888,0.9360544217687075
162,81,SCarborSNV,0.5840597758405978,0.989451476793249,0.7345340642129993
163,81,monovar,0.5665236051502146,0.8354430379746836,0.6751918158567775
164,82,SCarborSNV,0.8117229129662522,0.9580712788259959,0.8788461538461538
165,82,monovar,0.9834905660377359,0.8742138364779874,0.925638179800222
166,83,SCarborSNV,0.48673946957878317,0.9936305732484076,0.6534031413612565
167,83,monovar,0.4903677758318739,0.89171974522293,0.632768361581921
168,84,SCarborSNV,0.910411622276029,0.9817232375979112,0.9447236180904522
169,84,monovar,0.9883720930232558,0.8877284595300261,0.9353507565337001
170,85,SCarborSNV,0.3861671469740634,0.9816849816849816,0.5542916235780765
171,85,monovar,0.45525291828793774,0.8571428571428571,0.5946632782719187
172,86,SCarborSNV,0.9367396593673966,1.0,0.9673366834170855
173,86,monovar,0.9834254143646409,0.9246753246753247,0.9531459170013387
174,87,SCarborSNV,0.9402261712439418,1.0,0.9691923397169026
175,87,monovar,0.9981203007518797,0.9123711340206185,0.9533213644524237
176,88,SCarborSNV,0.8857142857142857,0.9893617021276596,0.9346733668341709
177,88,monovar,0.9928057553956835,0.8808510638297873,0.9334836527621195
178,89,SCarborSNV,0.8501259445843828,0.9911894273127754,0.9152542372881356
179,89,monovar,0.988835725677831,0.9104258443465492,0.9480122324159022
180,90,SCarborSNV,0.879021879021879,0.9743223965763196,0.9242219215155616
181,90,monovar,0.9887459807073955,0.8773181169757489,0.9297052154195011
182,91,SCarborSNV,0.9015063731170336,0.9961587708066582,0.9464720194647201
183,91,monovar,0.9954407294832827,0.8386683738796414,0.9103544127866574
184,92,SCarborSNV,0.3030949839914621,0.9964912280701754,0.46481178396072015
185,92,monovar,0.3121098626716604,0.8771929824561403,0.4604051565377532
186,93,SCarborSNV,0.8864569083447332,0.9923430321592649,0.9364161849710982
187,93,monovar,0.9879725085910653,0.8805513016845329,0.9311740890688259
188,94,SCarborSNV,0.9124293785310734,0.9923195084485407,0.9506990434142752
189,94,monovar,0.9896193771626297,0.8786482334869432,0.9308380797396257
190,95,SCarborSNV,0.8977272727272727,0.983402489626556,0.9386138613861386
191,95,monovar,0.9906542056074766,0.8796680497925311,0.9318681318681319
192,96,SCarborSNV,0.9497607655502392,0.9974874371859297,0.9730392156862745
193,96,monovar,0.9805555555555555,0.8869346733668342,0.9313984168865436
194,97,SCarborSNV,0.8880248833592534,0.9861830742659758,0.9345335515548282
195,97,monovar,0.9885057471264368,0.8911917098445595,0.9373297002724795
196,98,SCarborSNV,0.9382716049382716,0.990228013029316,0.9635499207606973
197,98,monovar,0.98828125,0.8241042345276873,0.8987566607460036
198,99,SCarborSNV,0.905829596412556,0.9417249417249417,0.9234285714285714
199,99,monovar,0.9887005649717514,0.8158508158508159,0.8939974457215837
